iter	Passed	Remaining
718	6755	2640
719	6765	2630
720	6774	2621
721	6784	2612
722	6794	2603
723	6804	2594
724	6814	2584
725	6824	2575
726	6833	2566
727	6843	2556
728	6853	2547
729	6863	2538
730	6873	2529
731	6882	2519
732	6892	2510
733	6901	2501
734	6911	2492
735	6922	2482
736	6932	2473
737	6943	2464
738	6952	2455
739	6962	2446
740	6972	2436
741	6981	2427
742	6991	2418
743	7001	2409
744	7010	2399
745	7020	2390
746	7030	2381
747	7041	2372
748	7051	2362
749	7060	2353
750	7070	2344
751	7079	2334
752	7088	2325
753	7098	2316
754	7107	2306
755	7117	2297
756	7126	2287
757	7135	2278
758	7145	2268
759	7155	2259
760	7165	2250
761	7175	2241
762	7185	2231
763	7195	2222
764	7204	2213
765	7213	2203
766	7223	2194
767	7233	2185
768	7244	2176
769	7253	2166
770	7262	2157
771	7272	2147
772	7282	2138
773	7292	2129
774	7302	2119
775	7312	2110
776	7321	2101
777	7331	2092
778	7341	2082
779	7352	2073
780	7362	2064
781	7372	2055
782	7382	2046
783	7392	2036
784	7402	2027
785	7411	2017
786	7420	2008
787	7431	1999
788	7441	1989
789	7450	1980
790	7460	1971
791	7470	1961
792	7479	1952
793	7489	1943
794	7499	1933
795	7509	1924
796	7518	1915
797	7528	1905
798	7538	1896
799	7547	1886
800	7556	1877
801	7565	1867
802	7574	1858
803	7584	1848
804	7593	1839
805	7603	1830
806	7613	1820
807	7622	1811
808	7632	1801
809	7641	1792
810	7651	1783
811	7661	1773
812	7670	1764
813	7680	1754
814	7690	1745
815	7700	1736
816	7709	1726
817	7719	1717
818	7729	1708
819	7739	1698
820	7749	1689
821	7759	1680
822	7769	1670
823	7778	1661
824	7789	1652
825	7798	1642
826	7808	1633
827	7818	1624
828	7828	1614
829	7838	1605
830	7847	1596
831	7858	1586
832	7867	1577
833	7876	1567
834	7886	1558
835	7896	1549
836	7905	1539
837	7915	1530
838	7924	1520
839	7933	1511
840	7943	1501
841	7953	1492
842	7961	1482
843	7970	1473
844	7980	1463
845	7989	1454
846	7999	1445
847	8008	1435
848	8017	1426
849	8027	1416
850	8037	1407
851	8046	1397
852	8056	1388
853	8066	1379
854	8075	1369
855	8086	1360
856	8096	1350
857	8106	1341
858	8116	1332
859	8125	1322
860	8135	1313
861	8146	1304
862	8155	1294
863	8166	1285
864	8176	1276
865	8185	1266
866	8195	1257
867	8205	1247
868	8214	1238
869	8224	1228
870	8234	1219
871	8244	1210
872	8254	1200
873	8264	1191
874	8274	1182
875	8285	1172
876	8295	1163
877	8305	1154
878	8315	1144
879	8325	1135
880	8334	1125
881	8344	1116
882	8353	1106
883	8363	1097
884	8373	1088
885	8383	1078
886	8394	1069
887	8404	1060
888	8414	1050
889	8424	1041
890	8433	1031
891	8443	1022
892	8452	1012
893	8461	1003
894	8471	993
895	8481	984
896	8491	975
897	8501	965
898	8511	956
899	8521	946
900	8531	937
901	8541	927
902	8551	918
903	8561	909
904	8571	899
905	8581	890
906	8591	880
907	8601	871
908	8611	862
909	8621	852
910	8632	843
911	8642	833
912	8652	824
913	8662	815
914	8673	805
915	8683	796
916	8693	786
917	8704	777
918	8714	768
919	8724	758
920	8734	749
921	8744	739
922	8754	730
923	8764	720
924	8774	711
925	8784	702
926	8794	692
927	8804	683
928	8814	673
929	8824	664
930	8834	654
931	8844	645
932	8854	635
933	8864	626
934	8874	616
935	8883	607
936	8893	597
937	8903	588
938	8913	579
939	8923	569
940	8933	560
941	8943	550
942	8953	541
943	8963	531
944	8974	522
945	8984	512
946	8994	503
947	9004	493
948	9014	484
949	9024	474
950	9033	465
951	9042	455
952	9050	446
953	9059	436
954	9068	427
955	9077	417
956	9085	408
957	9094	398
958	9103	389
959	9111	379
960	9120	370
961	9129	360
962	9139	351
963	9149	341
964	9159	332
965	9168	322
966	9178	313
967	9188	303
968	9199	294
969	9209	284
970	9219	275
971	9229	265
972	9238	256
973	9248	246
974	9257	237
975	9266	227
976	9276	218
977	9285	208
978	9295	199
979	9304	189
980	9313	180
981	9324	170
982	9334	161
983	9343	151
984	9353	142
985	9362	132
986	9371	123
987	9380	113
988	9389	104
989	9399	94
990	9408	85
991	9417	75
992	9426	66
993	9435	56
994	9444	47
995	9454	37
996	9464	28
997	9474	18
998	9484	9
999	9494	0
